"","origin","destination","weight"
"1","UKC1","UKC1",74
"2","UKC1","UKC2",10
"3","UKC1","UKD1",3
"4","UKC1","UKD3",5
"5","UKC1","UKD4",1
"6","UKC1","UKD6",3
"7","UKC1","UKD7",1
"8","UKC1","UKE1",3
"9","UKC1","UKE2",3
"10","UKC1","UKE4",2
"11","UKC1","UKF1",2
"12","UKC1","UKF2",2
"13","UKC1","UKF3",2
"14","UKC1","UKG1",2
"15","UKC1","UKG2",2
"16","UKC1","UKG3",3
"17","UKC1","UKH2",2
"18","UKC1","UKH3",1
"19","UKC1","UKI1",9
"20","UKC1","UKI2",3
"21","UKC1","UKJ1",5
"22","UKC1","UKJ2",5
"23","UKC1","UKJ3",2
"24","UKC1","UKJ4",1
"25","UKC1","UKK1",1
"26","UKC1","UKK2",2
"27","UKC1","UKK4",8
"28","UKC1","UKL1",1
"29","UKC1","UKL2",3
"30","UKC1","UKM2",5
"31","UKC1","UKM6",3
"32","UKC1","UKN0",1
"33","UKC2","UKC1",8
"34","UKC2","UKC2",110
"35","UKC2","UKD1",4
"36","UKC2","UKD3",23
"37","UKC2","UKD4",8
"38","UKC2","UKD6",8
"39","UKC2","UKE1",3
"40","UKC2","UKE2",2
"41","UKC2","UKE4",5
"42","UKC2","UKF1",1
"43","UKC2","UKF2",6
"44","UKC2","UKF3",8
"45","UKC2","UKG1",3
"46","UKC2","UKG2",7
"47","UKC2","UKG3",10
"48","UKC2","UKH1",5
"49","UKC2","UKH2",9
"50","UKC2","UKH3",13
"51","UKC2","UKI1",17
"52","UKC2","UKI2",23
"53","UKC2","UKJ1",13
"54","UKC2","UKJ2",20
"55","UKC2","UKJ3",10
"56","UKC2","UKJ4",4
"57","UKC2","UKK1",17
"58","UKC2","UKK2",9
"59","UKC2","UKK3",2
"60","UKC2","UKK4",9
"61","UKC2","UKL1",4
"62","UKC2","UKL2",5
"63","UKC2","UKM2",16
"64","UKC2","UKM3",8
"65","UKC2","UKM5",3
"66","UKC2","UKM6",3
"67","UKD1","UKC1",2
"68","UKD1","UKC2",5
"69","UKD1","UKD1",243
"70","UKD1","UKD3",20
"71","UKD1","UKD4",8
"72","UKD1","UKD6",5
"73","UKD1","UKD7",1
"74","UKD1","UKE1",1
"75","UKD1","UKE2",4
"76","UKD1","UKE4",1
"77","UKD1","UKF1",7
"78","UKD1","UKF2",6
"79","UKD1","UKF3",2
"80","UKD1","UKG1",4
"81","UKD1","UKG2",3
"82","UKD1","UKG3",2
"83","UKD1","UKH1",1
"84","UKD1","UKH2",4
"85","UKD1","UKH3",2
"86","UKD1","UKI1",5
"87","UKD1","UKI2",5
"88","UKD1","UKJ1",5
"89","UKD1","UKJ2",9
"90","UKD1","UKJ3",13
"91","UKD1","UKJ4",1
"92","UKD1","UKK1",10
"93","UKD1","UKK2",4
"94","UKD1","UKK3",1
"95","UKD1","UKK4",9
"96","UKD1","UKL1",5
"97","UKD1","UKL2",1
"98","UKD1","UKM2",4
"99","UKD1","UKM3",6
"100","UKD1","UKM5",1
"101","UKD1","UKM6",2
"102","UKD3","UKC1",7
"103","UKD3","UKC2",5
"104","UKD3","UKD1",15
"105","UKD3","UKD3",521
"106","UKD3","UKD4",18
"107","UKD3","UKD6",21
"108","UKD3","UKD7",8
"109","UKD3","UKE1",2
"110","UKD3","UKE2",6
"111","UKD3","UKE3",11
"112","UKD3","UKE4",15
"113","UKD3","UKF1",26
"114","UKD3","UKF2",16
"115","UKD3","UKF3",1
"116","UKD3","UKG1",13
"117","UKD3","UKG2",13
"118","UKD3","UKG3",50
"119","UKD3","UKH1",17
"120","UKD3","UKH2",21
"121","UKD3","UKH3",635
"122","UKD3","UKI1",73
"123","UKD3","UKI2",25
"124","UKD3","UKJ1",22
"125","UKD3","UKJ2",26
"126","UKD3","UKJ3",16
"127","UKD3","UKJ4",10
"128","UKD3","UKK1",83
"129","UKD3","UKK2",11
"130","UKD3","UKK3",3
"131","UKD3","UKK4",4
"132","UKD3","UKL1",4
"133","UKD3","UKL2",13
"134","UKD3","UKM2",13
"135","UKD3","UKM3",8
"136","UKD3","UKM5",1
"137","UKD3","UKM6",1
"138","UKD3","UKN0",5
"139","UKD4","UKC1",6
"140","UKD4","UKC2",4
"141","UKD4","UKD1",14
"142","UKD4","UKD3",44
"143","UKD4","UKD4",209
"144","UKD4","UKD6",3
"145","UKD4","UKD7",5
"146","UKD4","UKE1",6
"147","UKD4","UKE2",12
"148","UKD4","UKE3",6
"149","UKD4","UKE4",8
"150","UKD4","UKF1",9
"151","UKD4","UKF2",8
"152","UKD4","UKF3",7
"153","UKD4","UKG1",7
"154","UKD4","UKG2",19
"155","UKD4","UKG3",9
"156","UKD4","UKH1",18
"157","UKD4","UKH2",11
"158","UKD4","UKH3",11
"159","UKD4","UKI1",56
"160","UKD4","UKI2",30
"161","UKD4","UKJ1",25
"162","UKD4","UKJ2",38
"163","UKD4","UKJ3",11
"164","UKD4","UKJ4",9
"165","UKD4","UKK1",18
"166","UKD4","UKK2",7
"167","UKD4","UKK3",5
"168","UKD4","UKK4",15
"169","UKD4","UKL1",11
"170","UKD4","UKL2",4
"171","UKD4","UKM2",12
"172","UKD4","UKM3",12
"173","UKD4","UKM5",2
"174","UKD4","UKM6",8
"175","UKD4","UKN0",5
"176","UKD6","UKC1",1
"177","UKD6","UKC2",1
"178","UKD6","UKD1",3
"179","UKD6","UKD3",25
"180","UKD6","UKD4",5
"181","UKD6","UKD6",430
"182","UKD6","UKE1",2
"183","UKD6","UKE2",3
"184","UKD6","UKE3",2
"185","UKD6","UKE4",4
"186","UKD6","UKF1",7
"187","UKD6","UKF2",6
"188","UKD6","UKF3",1
"189","UKD6","UKG1",11
"190","UKD6","UKG2",7
"191","UKD6","UKG3",3
"192","UKD6","UKH1",12
"193","UKD6","UKH2",4
"194","UKD6","UKH3",2
"195","UKD6","UKI1",9
"196","UKD6","UKI2",13
"197","UKD6","UKJ1",7
"198","UKD6","UKJ2",11
"199","UKD6","UKJ3",4
"200","UKD6","UKJ4",5
"201","UKD6","UKK1",9
"202","UKD6","UKK2",4
"203","UKD6","UKK3",5
"204","UKD6","UKK4",5
"205","UKD6","UKL1",5
"206","UKD6","UKL2",4
"207","UKD6","UKM2",2
"208","UKD6","UKM3",4
"209","UKD6","UKM6",2
"210","UKD6","UKN0",6
"211","UKD7","UKC1",1
"212","UKD7","UKD1",1
"213","UKD7","UKD3",17
"214","UKD7","UKD6",4
"215","UKD7","UKD7",17
"216","UKD7","UKF2",2
"217","UKD7","UKG1",1
"218","UKD7","UKI1",1
"219","UKD7","UKI2",1
"220","UKD7","UKJ1",1
"221","UKD7","UKJ3",2
"222","UKD7","UKJ4",1
"223","UKD7","UKK1",3
"224","UKD7","UKK3",1
