"","origin","destination","weight"
"1","UKC1","UKC1",65
"2","UKC1","UKC2",16
"3","UKC1","UKD6",2
"4","UKC1","UKE2",3
"5","UKC1","UKE4",2
"6","UKC1","UKG1",1
"7","UKC1","UKG3",5
"8","UKC1","UKH2",2
"9","UKC1","UKI1",1818
"10","UKC1","UKI2",4
"11","UKC1","UKJ1",5
"12","UKC1","UKJ2",9
"13","UKC1","UKK1",4
"14","UKC1","UKK2",3
"15","UKC1","UKM2",29
"16","UKC2","UKC1",3
"17","UKC2","UKC2",27
"18","UKC2","UKD1",25
"19","UKC2","UKD3",4
"20","UKC2","UKD4",10
"21","UKC2","UKD7",16
"22","UKC2","UKE2",10
"23","UKC2","UKE3",3
"24","UKC2","UKE4",1
"25","UKC2","UKF2",3
"26","UKC2","UKG3",7
"27","UKC2","UKH1",3
"28","UKC2","UKH3",8
"29","UKC2","UKI1",507
"30","UKC2","UKI2",235
"31","UKC2","UKJ1",3
"32","UKC2","UKJ2",1
"33","UKC2","UKJ3",12
"34","UKC2","UKK1",5
"35","UKC2","UKK2",10
"36","UKC2","UKM2",3
"37","UKC2","UKM3",5
"38","UKD1","UKC1",3
"39","UKD1","UKC2",5
"40","UKD1","UKD1",42
"41","UKD1","UKD3",31
"42","UKD1","UKD4",3
"43","UKD1","UKD6",5
"44","UKD1","UKD7",1
"45","UKD1","UKE1",1
"46","UKD1","UKE2",3
"47","UKD1","UKE4",2
"48","UKD1","UKF1",1
"49","UKD1","UKF2",1
"50","UKD1","UKF3",1
"51","UKD1","UKG1",2
"52","UKD1","UKG2",1
"53","UKD1","UKG3",3
"54","UKD1","UKH1",3
"55","UKD1","UKH2",1
"56","UKD1","UKH3",3
"57","UKD1","UKI1",12
"58","UKD1","UKI2",7
"59","UKD1","UKJ2",1
"60","UKD1","UKK1",2
"61","UKD1","UKK2",5
"62","UKD1","UKK4",2
"63","UKD1","UKL1",2
"64","UKD1","UKL2",1
"65","UKD1","UKM3",1
"66","UKD1","UKM6",2
"67","UKD1","UKN0",1
"68","UKD3","UKD3",302
"69","UKD3","UKD4",52
"70","UKD3","UKD6",6
"71","UKD3","UKD7",5
"72","UKD3","UKE1",3
"73","UKD3","UKE2",3
"74","UKD3","UKE3",1
"75","UKD3","UKE4",2
"76","UKD3","UKF1",137
"77","UKD3","UKF2",24
"78","UKD3","UKG1",3
"79","UKD3","UKG2",2
"80","UKD3","UKG3",59
"81","UKD3","UKH1",50
"82","UKD3","UKH2",19
"83","UKD3","UKH3",6
"84","UKD3","UKI1",93
"85","UKD3","UKI2",13
"86","UKD3","UKJ1",147
"87","UKD3","UKJ2",27
"88","UKD3","UKJ3",17
"89","UKD3","UKJ4",17
"90","UKD3","UKK1",7
"91","UKD3","UKK2",5
"92","UKD3","UKK4",1
"93","UKD3","UKL1",10
"94","UKD3","UKL2",2
"95","UKD3","UKM2",4
"96","UKD4","UKD1",2
"97","UKD4","UKD3",2
"98","UKD4","UKD4",243
"99","UKD4","UKD6",8
"100","UKD4","UKD7",1
"101","UKD4","UKE1",2
"102","UKD4","UKE3",2
"103","UKD4","UKE4",1
"104","UKD4","UKF1",1
"105","UKD4","UKF2",1
"106","UKD4","UKF3",2
"107","UKD4","UKG1",2
"108","UKD4","UKG2",1
"109","UKD4","UKG3",15
"110","UKD4","UKH1",41
"111","UKD4","UKH2",3
"112","UKD4","UKI1",33
"113","UKD4","UKI2",34
"114","UKD4","UKJ1",8
"115","UKD4","UKJ2",353
"116","UKD4","UKJ3",1
"117","UKD4","UKK1",3
"118","UKD4","UKK2",4
"119","UKD4","UKM2",11
"120","UKD6","UKC1",3
"121","UKD6","UKD3",13
"122","UKD6","UKD4",14
"123","UKD6","UKD6",67
"124","UKD6","UKE3",3
"125","UKD6","UKE4",3
"126","UKD6","UKF1",35
"127","UKD6","UKF3",5
"128","UKD6","UKG1",1
"129","UKD6","UKG2",6
"130","UKD6","UKG3",9
"131","UKD6","UKH1",21
"132","UKD6","UKH2",2
"133","UKD6","UKH3",7
"134","UKD6","UKI1",35
"135","UKD6","UKI2",13
"136","UKD6","UKJ1",64
"137","UKD6","UKJ2",46
"138","UKD6","UKJ3",6
"139","UKD6","UKK1",6
"140","UKD6","UKL1",10
"141","UKD6","UKL2",6
"142","UKD6","UKM2",25
"143","UKD6","UKM3",2
"144","UKD7","UKC1",1
"145","UKD7","UKD3",1
"146","UKD7","UKD4",2
"147","UKD7","UKD6",2
"148","UKD7","UKD7",253
"149","UKD7","UKE3",3
"150","UKD7","UKF2",2
"151","UKD7","UKH2",507
"152","UKD7","UKH3",4
"153","UKD7","UKI1",7912
"154","UKD7","UKI2",5
"155","UKD7","UKJ1",209
"156","UKD7","UKK1",2
"157","UKD7","UKK3",1
"158","UKD7","UKK4",4
"159","UKD7","UKL1",1
"160","UKD7","UKL2",1
"161","UKD7","UKM2",3
"162","UKE1","UKD3",15
"163","UKE1","UKE1",2
"164","UKE1","UKF3",1
"165","UKE1","UKI1",4
"166","UKE1","UKI2",5
"167","UKE1","UKJ2",189
"168","UKE1","UKK1",5
"169","UKE1","UKL1",1
"170","UKE1","UKM2",3
"171","UKE2","UKC1",1
"172","UKE2","UKD3",15
"173","UKE2","UKD4",17
"174","UKE2","UKD6",4
"175","UKE2","UKE1",2
"176","UKE2","UKE2",178
"177","UKE2","UKE3",2
"178","UKE2","UKE4",36
"179","UKE2","UKF1",17
"180","UKE2","UKG1",3
"181","UKE2","UKG2",6
"182","UKE2","UKH1",1
"183","UKE2","UKH2",48
"184","UKE2","UKI1",69
"185","UKE2","UKI2",46
"186","UKE2","UKJ1",19
"187","UKE2","UKJ2",4
"188","UKE2","UKJ3",6
"189","UKE2","UKJ4",1
"190","UKE2","UKK1",1
"191","UKE2","UKK2",1
"192","UKE2","UKM2",40
"193","UKE3","UKC2",1
"194","UKE3","UKD1",2
"195","UKE3","UKD3",4
"196","UKE3","UKD4",2
"197","UKE3","UKE3",25
"198","UKE3","UKE4",4
"199","UKE3","UKF1",5
"200","UKE3","UKF3",1
"201","UKE3","UKG1",6
"202","UKE3","UKG2",4
"203","UKE3","UKG3",1
"204","UKE3","UKH3",1
"205","UKE3","UKI1",26
"206","UKE3","UKI2",4
"207","UKE3","UKJ1",8
"208","UKE3","UKJ2",13
"209","UKE3","UKK1",3
"210","UKE3","UKK2",1
"211","UKE3","UKL2",3
"212","UKE3","UKM2",1
"213","UKE3","UKM6",9
"214","UKE4","UKC2",1
"215","UKE4","UKD3",8
"216","UKE4","UKD4",1
"217","UKE4","UKD6",16
"218","UKE4","UKD7",8
"219","UKE4","UKE2",6
"220","UKE4","UKE3",2
"221","UKE4","UKE4",32
"222","UKE4","UKF1",7
"223","UKE4","UKF2",2
"224","UKE4","UKG1",12
"225","UKE4","UKG2",3
"226","UKE4","UKG3",20
"227","UKE4","UKH1",7
"228","UKE4","UKH2",8
"229","UKE4","UKH3",2
"230","UKE4","UKI1",918
"231","UKE4","UKI2",7
"232","UKE4","UKJ1",16
"233","UKE4","UKJ2",3
"234","UKE4","UKJ3",8
"235","UKE4","UKK1",32
"236","UKE4","UKK2",8
"237","UKE4","UKK4",3
"238","UKE4","UKL1",2
"239","UKE4","UKL2",2
"240","UKE4","UKM2",6
"241","UKE4","UKM3",1
"242","UKE4","UKM5",1
"243","UKF1","UKC1",5
"244","UKF1","UKD3",5
"245","UKF1","UKD4",7
"246","UKF1","UKD6",4
"247","UKF1","UKE1",4
"248","UKF1","UKE3",1
"249","UKF1","UKE4",2
"250","UKF1","UKF1",1048
"251","UKF1","UKF2",6
"252","UKF1","UKG1",44
"253","UKF1","UKG3",12
"254","UKF1","UKH1",10
"255","UKF1","UKH2",3
"256","UKF1","UKH3",15
"257","UKF1","UKI1",257
"258","UKF1","UKI2",52
"259","UKF1","UKJ1",49
"260","UKF1","UKJ2",42
"261","UKF1","UKJ3",1
"262","UKF1","UKJ4",6
"263","UKF1","UKK1",12
"264","UKF1","UKL1",11
"265","UKF1","UKL2",3
"266","UKF1","UKM2",4
"267","UKF1","UKM3",4
"268","UKF1","UKM6",1
"269","UKF1","UKN0",1
"270","UKF2","UKD1",1
"271","UKF2","UKD3",3
"272","UKF2","UKD4",40
"273","UKF2","UKE1",3
"274","UKF2","UKE2",6
"275","UKF2","UKE3",5
