"","origin","destination","weight"
"1","UKC1","UKC1",7849
"2","UKC1","UKC2",83
"3","UKC1","UKD1",4
"4","UKC1","UKD3",185
"5","UKC1","UKD4",15
"6","UKC1","UKD6",4
"7","UKC1","UKD7",4
"8","UKC1","UKE1",11
"9","UKC1","UKE2",33
"10","UKC1","UKE3",10
"11","UKC1","UKE4",20
"12","UKC1","UKF1",36
"13","UKC1","UKF2",2
"14","UKC1","UKF3",2
"15","UKC1","UKG1",30
"16","UKC1","UKG2",17
"17","UKC1","UKG3",4
"18","UKC1","UKH1",133
"19","UKC1","UKH2",61
"20","UKC1","UKH3",8
"21","UKC1","UKI1",125
"22","UKC1","UKI2",50
"23","UKC1","UKJ1",23
"24","UKC1","UKJ2",14
"25","UKC1","UKJ3",14
"26","UKC1","UKK1",107
"27","UKC1","UKK2",18
"28","UKC1","UKK3",22
"29","UKC1","UKK4",42
"30","UKC1","UKL1",57
"31","UKC1","UKL2",6
"32","UKC1","UKM2",27
"33","UKC1","UKM3",1
"34","UKC1","UKN0",3
"35","UKC2","UKC1",4058
"36","UKC2","UKC2",10600
"37","UKC2","UKD1",44
"38","UKC2","UKD3",166
"39","UKC2","UKD4",12
"40","UKC2","UKD6",5
"41","UKC2","UKD7",3
"42","UKC2","UKE1",39
"43","UKC2","UKE2",18
"44","UKC2","UKE4",472
"45","UKC2","UKF1",13
"46","UKC2","UKF2",25
"47","UKC2","UKF3",24
"48","UKC2","UKG1",13
"49","UKC2","UKG2",4
"50","UKC2","UKG3",18
"51","UKC2","UKH1",32
"52","UKC2","UKH2",62
"53","UKC2","UKH3",38
"54","UKC2","UKI1",72
"55","UKC2","UKI2",53
"56","UKC2","UKJ1",842
"57","UKC2","UKJ2",35
"58","UKC2","UKJ3",1008
"59","UKC2","UKJ4",41
"60","UKC2","UKK1",63
"61","UKC2","UKK2",81
"62","UKC2","UKK3",6
"63","UKC2","UKK4",158
"64","UKC2","UKL1",15
"65","UKC2","UKL2",4
"66","UKC2","UKM2",698
"67","UKC2","UKM3",51
"68","UKC2","UKM5",3
"69","UKC2","UKN0",1
"70","UKD1","UKC1",3
"71","UKD1","UKC2",7
"72","UKD1","UKD1",2761
"73","UKD1","UKD3",580
"74","UKD1","UKD4",29
"75","UKD1","UKD6",11
"76","UKD1","UKD7",1
"77","UKD1","UKE1",9
"78","UKD1","UKE2",4
"79","UKD1","UKE4",7
"80","UKD1","UKF1",28
"81","UKD1","UKF2",4
"82","UKD1","UKF3",2
"83","UKD1","UKG1",15
"84","UKD1","UKG3",9
"85","UKD1","UKH1",1169
"86","UKD1","UKH3",5
"87","UKD1","UKI1",14
"88","UKD1","UKI2",7
"89","UKD1","UKJ1",15
"90","UKD1","UKJ2",23
"91","UKD1","UKJ3",10
"92","UKD1","UKJ4",5
"93","UKD1","UKK1",53
"94","UKD1","UKK2",9
"95","UKD1","UKK3",2
"96","UKD1","UKK4",15
"97","UKD1","UKL1",12
"98","UKD1","UKL2",4
"99","UKD1","UKM2",37
"100","UKD1","UKM3",18
"101","UKD1","UKM6",8
"102","UKD1","UKN0",3
"103","UKD3","UKC1",48
"104","UKD3","UKC2",12
"105","UKD3","UKD1",216
"106","UKD3","UKD3",37481
"107","UKD3","UKD4",91
"108","UKD3","UKD6",3141
"109","UKD3","UKD7",224
"110","UKD3","UKE1",2
"111","UKD3","UKE2",62
"112","UKD3","UKE3",8
"113","UKD3","UKE4",13
"114","UKD3","UKF1",53
"115","UKD3","UKF2",35
"116","UKD3","UKF3",33
"117","UKD3","UKG1",152
"118","UKD3","UKG2",18
