"","origin","destination","weight"
"1","UKC1","UKC1",34082
"2","UKC1","UKC2",2193
"3","UKC1","UKD1",96
"4","UKC1","UKD3",6687
"5","UKC1","UKD4",886
"6","UKC1","UKD6",191
"7","UKC1","UKD7",341
"8","UKC1","UKE1",198
"9","UKC1","UKE2",475
"10","UKC1","UKE3",820
"11","UKC1","UKE4",384
"12","UKC1","UKF1",3234
"13","UKC1","UKF2",602
"14","UKC1","UKF3",78
"15","UKC1","UKG1",451
"16","UKC1","UKG2",1499
"17","UKC1","UKG3",295
"18","UKC1","UKH1",718
"19","UKC1","UKH2",675
"20","UKC1","UKH3",219
"21","UKC1","UKI1",22014
"22","UKC1","UKI2",1823
"23","UKC1","UKJ1",814
"24","UKC1","UKJ2",3981
"25","UKC1","UKJ3",507
"26","UKC1","UKJ4",1366
"27","UKC1","UKK1",1275
"28","UKC1","UKK2",447
"29","UKC1","UKK3",230
"30","UKC1","UKK4",301
"31","UKC1","UKL1",59
"32","UKC1","UKL2",661
"33","UKC1","UKM2",1450
"34","UKC1","UKM3",394
"35","UKC1","UKM5",84
"36","UKC1","UKM6",121
"37","UKC1","UKN0",61
"38","UKC2","UKC1",2101
"39","UKC2","UKC2",51771
"40","UKC2","UKD1",5131
"41","UKC2","UKD3",3065
"42","UKC2","UKD4",2172
"43","UKC2","UKD6",11272
"44","UKC2","UKD7",4094
"45","UKC2","UKE1",310
"46","UKC2","UKE2",211
"47","UKC2","UKE3",2094
"48","UKC2","UKE4",13501
"49","UKC2","UKF1",2305
"50","UKC2","UKF2",1066
"51","UKC2","UKF3",197
"52","UKC2","UKG1",1101
"53","UKC2","UKG2",954
"54","UKC2","UKG3",3472
"55","UKC2","UKH1",8143
"56","UKC2","UKH2",2906
"57","UKC2","UKH3",1289
"58","UKC2","UKI1",22061
"59","UKC2","UKI2",1633
"60","UKC2","UKJ1",5401
"61","UKC2","UKJ2",5832
"62","UKC2","UKJ3",1317
"63","UKC2","UKJ4",6405
"64","UKC2","UKK1",1244
"65","UKC2","UKK2",543
"66","UKC2","UKK3",154
"67","UKC2","UKK4",719
"68","UKC2","UKL1",354
"69","UKC2","UKL2",436
"70","UKC2","UKM2",3652
"71","UKC2","UKM3",622
"72","UKC2","UKM5",66
"73","UKC2","UKM6",232
"74","UKC2","UKN0",798
"75","UKD1","UKC1",472
"76","UKD1","UKC2",305
"77","UKD1","UKD1",53859
"78","UKD1","UKD3",4941
"79","UKD1","UKD4",3086
"80","UKD1","UKD6",184
