"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",6996776,43333,13,5667,4285,118,151,26,4508,576,74,4542,59,93,11344,49,61,95,1152,2747,71890,804,3104,17912,511,650,243,3344,3247,26,60,25,944,183,1218,21,1850
"UKC2",1576,4107723,84,279,481,1204,65,22,340,184,907,151,372,941,657,699,169,548,867,370,10557,1297,13081,751,732,2031,935,230,1287,128,596,202,886,959,234,46,331
"UKD1",541,288,5622339,1233,13841,161,47,51,36716,50,328,399,356,78,199,235,605,1172,131,22,1390,583,2862,188,1875,99,228,258,172,98,44,768,911,240,198,84,313
"UKD3",345,1833,2210,30397195,8298,2546,852,167,2711,3286,13430,2302,930,276,1254,8152,2895,2769,11009,907,73970,5918,42618,16343,6882,2831,13456,724,302,641,5727,461,1482,4300,72,220,2170
"UKD4",1509,1436,8620,1840,13325432,6583,127,49,1010,182,6405,565,602,126,821,1730,723,1361,816,1379,11417,2223,19810,2610,12587,3720,744,3783,13157,725,226,123,787,381,89,12116,256
"UKD6",486,331,109,1998,25139,11122419,518,66,1267,1714,1311,55548,541,229,790,4505,17603,1142,1017,1525,75358,9040,3624,8086,4965,281,750,220680,130,4191,2422,2765,434,13565,36,4745,487
"UKD7",0,33,1370,125,27638,46,6220542,19,15,10,406,130,4,6,19,19,641,43,140,14,1017,529,3753,75,1100,8,358,11,5,7,36,0,22,398,0,9,3343
"UKE1",76,2549,36,153,140,219,1,14700713,282,210,429,206,380,124,105,355,471,2407,146,428,13493,1225,4307,407,365,9429,585,75,731,98,110,22,222,534,19,20,1449
"UKE2",854,26099,101,1158,1403,526,55,462,11776386,465,2044,1044,1308,192,31880,1384,2230,533,2191,183515,11190,2599,3344,792722,2628,13772,550,2082,3910,4268,596,2113,951,3666,42,78,730
"UKE3",221,170,21,350,429,294,225,312,431,15374934,3068,836,659,129,169,63,443,3113,2221,1109,18711,1043,5266,735,971,1116,776,7523,161,189,161,60,305,4958,276,194,1301
"UKE4",2513,3096,52,9544,889,12256,4541,477,546,1986,11409175,405,892,79,302,60,859,1035,682,761,9921,1334,4265,1857,491,763,683,177,173,233,58,52,1810,795,80,33,506
"UKF1",1065,1482,1375,9381,1065,2245,255,2450,515,1698,1640,30771492,1235,1605,907,3369,1195,1019,2195,1356,10157,2570,9168,1566,1386,1566,25100,175,3673,598,460,169,4858,1049,96,95,222
