"","origin","destination","weight"
"1","UKC1","UKC1",6996776
"2","UKC1","UKC2",43333
"3","UKC1","UKD1",13
"4","UKC1","UKD3",5667
"5","UKC1","UKD4",4285
"6","UKC1","UKD6",118
"7","UKC1","UKD7",151
"8","UKC1","UKE1",26
"9","UKC1","UKE2",4508
"10","UKC1","UKE3",576
"11","UKC1","UKE4",74
"12","UKC1","UKF1",4542
"13","UKC1","UKF2",59
"14","UKC1","UKF3",93
"15","UKC1","UKG1",11344
"16","UKC1","UKG2",49
"17","UKC1","UKG3",61
"18","UKC1","UKH1",95
"19","UKC1","UKH2",1152
"20","UKC1","UKH3",2747
"21","UKC1","UKI1",71890
"22","UKC1","UKI2",804
"23","UKC1","UKJ1",3104
"24","UKC1","UKJ2",17912
"25","UKC1","UKJ3",511
"26","UKC1","UKJ4",650
"27","UKC1","UKK1",243
"28","UKC1","UKK2",3344
"29","UKC1","UKK3",3247
"30","UKC1","UKK4",26
"31","UKC1","UKL1",60
"32","UKC1","UKL2",25
"33","UKC1","UKM2",944
"34","UKC1","UKM3",183
"35","UKC1","UKM5",1218
"36","UKC1","UKM6",21
"37","UKC1","UKN0",1850
"38","UKC2","UKC1",1576
"39","UKC2","UKC2",4107723
"40","UKC2","UKD1",84
"41","UKC2","UKD3",279
"42","UKC2","UKD4",481
"43","UKC2","UKD6",1204
"44","UKC2","UKD7",65
"45","UKC2","UKE1",22
"46","UKC2","UKE2",340
"47","UKC2","UKE3",184
"48","UKC2","UKE4",907
"49","UKC2","UKF1",151
"50","UKC2","UKF2",372
"51","UKC2","UKF3",941
"52","UKC2","UKG1",657
"53","UKC2","UKG2",699
"54","UKC2","UKG3",169
"55","UKC2","UKH1",548
"56","UKC2","UKH2",867
"57","UKC2","UKH3",370
"58","UKC2","UKI1",10557
"59","UKC2","UKI2",1297
"60","UKC2","UKJ1",13081
"61","UKC2","UKJ2",751
"62","UKC2","UKJ3",732
"63","UKC2","UKJ4",2031
"64","UKC2","UKK1",935
"65","UKC2","UKK2",230
"66","UKC2","UKK3",1287
"67","UKC2","UKK4",128
"68","UKC2","UKL1",596
"69","UKC2","UKL2",202
"70","UKC2","UKM2",886
"71","UKC2","UKM3",959
"72","UKC2","UKM5",234
"73","UKC2","UKM6",46
"74","UKC2","UKN0",331
"75","UKD1","UKC1",541
"76","UKD1","UKC2",288
"77","UKD1","UKD1",5622339
"78","UKD1","UKD3",1233
"79","UKD1","UKD4",13841
"80","UKD1","UKD6",161
"81","UKD1","UKD7",47
"82","UKD1","UKE1",51
"83","UKD1","UKE2",36716
"84","UKD1","UKE3",50
"85","UKD1","UKE4",328
"86","UKD1","UKF1",399
"87","UKD1","UKF2",356
"88","UKD1","UKF3",78
"89","UKD1","UKG1",199
"90","UKD1","UKG2",235
"91","UKD1","UKG3",605
"92","UKD1","UKH1",1172
"93","UKD1","UKH2",131
"94","UKD1","UKH3",22
"95","UKD1","UKI1",1390
"96","UKD1","UKI2",583
"97","UKD1","UKJ1",2862
"98","UKD1","UKJ2",188
"99","UKD1","UKJ3",1875
"100","UKD1","UKJ4",99
"101","UKD1","UKK1",228
"102","UKD1","UKK2",258
"103","UKD1","UKK3",172
"104","UKD1","UKK4",98
"105","UKD1","UKL1",44
"106","UKD1","UKL2",768
"107","UKD1","UKM2",911
"108","UKD1","UKM3",240
"109","UKD1","UKM5",198
"110","UKD1","UKM6",84
"111","UKD1","UKN0",313
"112","UKD3","UKC1",345
"113","UKD3","UKC2",1833
"114","UKD3","UKD1",2210
"115","UKD3","UKD3",30397195
"116","UKD3","UKD4",8298
"117","UKD3","UKD6",2546
"118","UKD3","UKD7",852
"119","UKD3","UKE1",167
"120","UKD3","UKE2",2711
"121","UKD3","UKE3",3286
"122","UKD3","UKE4",13430
"123","UKD3","UKF1",2302
"124","UKD3","UKF2",930
"125","UKD3","UKF3",276
"126","UKD3","UKG1",1254
"127","UKD3","UKG2",8152
"128","UKD3","UKG3",2895
"129","UKD3","UKH1",2769
"130","UKD3","UKH2",11009
"131","UKD3","UKH3",907
"132","UKD3","UKI1",73970
"133","UKD3","UKI2",5918
"134","UKD3","UKJ1",42618
"135","UKD3","UKJ2",16343
"136","UKD3","UKJ3",6882
"137","UKD3","UKJ4",2831
"138","UKD3","UKK1",13456
"139","UKD3","UKK2",724
"140","UKD3","UKK3",302
"141","UKD3","UKK4",641
"142","UKD3","UKL1",5727
"143","UKD3","UKL2",461
"144","UKD3","UKM2",1482
"145","UKD3","UKM3",4300
"146","UKD3","UKM5",72
"147","UKD3","UKM6",220
"148","UKD3","UKN0",2170
"149","UKD4","UKC1",1509
"150","UKD4","UKC2",1436
"151","UKD4","UKD1",8620
"152","UKD4","UKD3",1840
"153","UKD4","UKD4",13325432
"154","UKD4","UKD6",6583
"155","UKD4","UKD7",127
"156","UKD4","UKE1",49
"157","UKD4","UKE2",1010
"158","UKD4","UKE3",182
"159","UKD4","UKE4",6405
"160","UKD4","UKF1",565
"161","UKD4","UKF2",602
"162","UKD4","UKF3",126
"163","UKD4","UKG1",821
"164","UKD4","UKG2",1730
"165","UKD4","UKG3",723
"166","UKD4","UKH1",1361
"167","UKD4","UKH2",816
"168","UKD4","UKH3",1379
"169","UKD4","UKI1",11417
"170","UKD4","UKI2",2223
"171","UKD4","UKJ1",19810
"172","UKD4","UKJ2",2610
"173","UKD4","UKJ3",12587
"174","UKD4","UKJ4",3720
"175","UKD4","UKK1",744
"176","UKD4","UKK2",3783
"177","UKD4","UKK3",13157
"178","UKD4","UKK4",725
"179","UKD4","UKL1",226
"180","UKD4","UKL2",123
"181","UKD4","UKM2",787
"182","UKD4","UKM3",381
"183","UKD4","UKM5",89
"184","UKD4","UKM6",12116
"185","UKD4","UKN0",256
"186","UKD6","UKC1",486
"187","UKD6","UKC2",331
"188","UKD6","UKD1",109
"189","UKD6","UKD3",1998
"190","UKD6","UKD4",25139
"191","UKD6","UKD6",11122419
"192","UKD6","UKD7",518
"193","UKD6","UKE1",66
"194","UKD6","UKE2",1267
"195","UKD6","UKE3",1714
"196","UKD6","UKE4",1311
"197","UKD6","UKF1",55548
"198","UKD6","UKF2",541
"199","UKD6","UKF3",229
"200","UKD6","UKG1",790
"201","UKD6","UKG2",4505
"202","UKD6","UKG3",17603
"203","UKD6","UKH1",1142
"204","UKD6","UKH2",1017
"205","UKD6","UKH3",1525
"206","UKD6","UKI1",75358
"207","UKD6","UKI2",9040
"208","UKD6","UKJ1",3624
"209","UKD6","UKJ2",8086
"210","UKD6","UKJ3",4965
"211","UKD6","UKJ4",281
"212","UKD6","UKK1",750
"213","UKD6","UKK2",220680
"214","UKD6","UKK3",130
"215","UKD6","UKK4",4191
"216","UKD6","UKL1",2422
"217","UKD6","UKL2",2765
"218","UKD6","UKM2",434
"219","UKD6","UKM3",13565
"220","UKD6","UKM5",36
"221","UKD6","UKM6",4745
"222","UKD6","UKN0",487
"223","UKD7","UKC2",33
"224","UKD7","UKD1",1370
"225","UKD7","UKD3",125
"226","UKD7","UKD4",27638
"227","UKD7","UKD6",46
"228","UKD7","UKD7",6220542
"229","UKD7","UKE1",19
"230","UKD7","UKE2",15
"231","UKD7","UKE3",10
"232","UKD7","UKE4",406
"233","UKD7","UKF1",130
"234","UKD7","UKF2",4
"235","UKD7","UKF3",6
"236","UKD7","UKG1",19
"237","UKD7","UKG2",19
"238","UKD7","UKG3",641
"239","UKD7","UKH1",43
"240","UKD7","UKH2",140
"241","UKD7","UKH3",14
"242","UKD7","UKI1",1017
"243","UKD7","UKI2",529
"244","UKD7","UKJ1",3753
"245","UKD7","UKJ2",75
"246","UKD7","UKJ3",1100
"247","UKD7","UKJ4",8
"248","UKD7","UKK1",358
"249","UKD7","UKK2",11
"250","UKD7","UKK3",5
"251","UKD7","UKK4",7
"252","UKD7","UKL1",36
"253","UKD7","UKM2",22
"254","UKD7","UKM3",398
"255","UKD7","UKM6",9
"256","UKD7","UKN0",3343
"257","UKE1","UKC1",76
"258","UKE1","UKC2",2549
"259","UKE1","UKD1",36
"260","UKE1","UKD3",153
"261","UKE1","UKD4",140
"262","UKE1","UKD6",219
"263","UKE1","UKD7",1
"264","UKE1","UKE1",14700713
"265","UKE1","UKE2",282
"266","UKE1","UKE3",210
"267","UKE1","UKE4",429
"268","UKE1","UKF1",206
"269","UKE1","UKF2",380
"270","UKE1","UKF3",124
"271","UKE1","UKG1",105
"272","UKE1","UKG2",355
"273","UKE1","UKG3",471
"274","UKE1","UKH1",2407
"275","UKE1","UKH2",146
"276","UKE1","UKH3",428
"277","UKE1","UKI1",13493
"278","UKE1","UKI2",1225
"279","UKE1","UKJ1",4307
"280","UKE1","UKJ2",407
"281","UKE1","UKJ3",365
"282","UKE1","UKJ4",9429
"283","UKE1","UKK1",585
"284","UKE1","UKK2",75
"285","UKE1","UKK3",731
"286","UKE1","UKK4",98
"287","UKE1","UKL1",110
"288","UKE1","UKL2",22
"289","UKE1","UKM2",222
"290","UKE1","UKM3",534
"291","UKE1","UKM5",19
"292","UKE1","UKM6",20
"293","UKE1","UKN0",1449
"294","UKE2","UKC1",854
"295","UKE2","UKC2",26099
"296","UKE2","UKD1",101
"297","UKE2","UKD3",1158
"298","UKE2","UKD4",1403
"299","UKE2","UKD6",526
"300","UKE2","UKD7",55
"301","UKE2","UKE1",462
"302","UKE2","UKE2",11776386
"303","UKE2","UKE3",465
"304","UKE2","UKE4",2044
"305","UKE2","UKF1",1044
"306","UKE2","UKF2",1308
"307","UKE2","UKF3",192
"308","UKE2","UKG1",31880
"309","UKE2","UKG2",1384
"310","UKE2","UKG3",2230
"311","UKE2","UKH1",533
"312","UKE2","UKH2",2191
"313","UKE2","UKH3",183515
"314","UKE2","UKI1",11190
"315","UKE2","UKI2",2599
"316","UKE2","UKJ1",3344
"317","UKE2","UKJ2",792722
"318","UKE2","UKJ3",2628
"319","UKE2","UKJ4",13772
"320","UKE2","UKK1",550
"321","UKE2","UKK2",2082
"322","UKE2","UKK3",3910
"323","UKE2","UKK4",4268
"324","UKE2","UKL1",596
"325","UKE2","UKL2",2113
"326","UKE2","UKM2",951
"327","UKE2","UKM3",3666
"328","UKE2","UKM5",42
"329","UKE2","UKM6",78
"330","UKE2","UKN0",730
"331","UKE3","UKC1",221
"332","UKE3","UKC2",170
"333","UKE3","UKD1",21
"334","UKE3","UKD3",350
"335","UKE3","UKD4",429
"336","UKE3","UKD6",294
"337","UKE3","UKD7",225
"338","UKE3","UKE1",312
"339","UKE3","UKE2",431
"340","UKE3","UKE3",15374934
"341","UKE3","UKE4",3068
"342","UKE3","UKF1",836
"343","UKE3","UKF2",659
"344","UKE3","UKF3",129
"345","UKE3","UKG1",169
"346","UKE3","UKG2",63
"347","UKE3","UKG3",443
"348","UKE3","UKH1",3113
"349","UKE3","UKH2",2221
"350","UKE3","UKH3",1109
"351","UKE3","UKI1",18711
"352","UKE3","UKI2",1043
"353","UKE3","UKJ1",5266
"354","UKE3","UKJ2",735
"355","UKE3","UKJ3",971
"356","UKE3","UKJ4",1116
"357","UKE3","UKK1",776
"358","UKE3","UKK2",7523
"359","UKE3","UKK3",161
"360","UKE3","UKK4",189
"361","UKE3","UKL1",161
"362","UKE3","UKL2",60
"363","UKE3","UKM2",305
"364","UKE3","UKM3",4958
"365","UKE3","UKM5",276
"366","UKE3","UKM6",194
"367","UKE3","UKN0",1301
"368","UKE4","UKC1",2513
"369","UKE4","UKC2",3096
"370","UKE4","UKD1",52
"371","UKE4","UKD3",9544
"372","UKE4","UKD4",889
"373","UKE4","UKD6",12256
"374","UKE4","UKD7",4541
"375","UKE4","UKE1",477
"376","UKE4","UKE2",546
"377","UKE4","UKE3",1986
"378","UKE4","UKE4",11409175
"379","UKE4","UKF1",405
"380","UKE4","UKF2",892
"381","UKE4","UKF3",79
"382","UKE4","UKG1",302
"383","UKE4","UKG2",60
"384","UKE4","UKG3",859
"385","UKE4","UKH1",1035
"386","UKE4","UKH2",682
"387","UKE4","UKH3",761
"388","UKE4","UKI1",9921
"389","UKE4","UKI2",1334
"390","UKE4","UKJ1",4265
"391","UKE4","UKJ2",1857
"392","UKE4","UKJ3",491
"393","UKE4","UKJ4",763
"394","UKE4","UKK1",683
"395","UKE4","UKK2",177
"396","UKE4","UKK3",173
"397","UKE4","UKK4",233
"398","UKE4","UKL1",58
"399","UKE4","UKL2",52
"400","UKE4","UKM2",1810
"401","UKE4","UKM3",795
"402","UKE4","UKM5",80
"403","UKE4","UKM6",33
"404","UKE4","UKN0",506
"405","UKF1","UKC1",1065
"406","UKF1","UKC2",1482
"407","UKF1","UKD1",1375
"408","UKF1","UKD3",9381
"409","UKF1","UKD4",1065
"410","UKF1","UKD6",2245
"411","UKF1","UKD7",255
"412","UKF1","UKE1",2450
"413","UKF1","UKE2",515
"414","UKF1","UKE3",1698
"415","UKF1","UKE4",1640
"416","UKF1","UKF1",30771492
"417","UKF1","UKF2",1235
"418","UKF1","UKF3",1605
"419","UKF1","UKG1",907
"420","UKF1","UKG2",3369
"421","UKF1","UKG3",1195
"422","UKF1","UKH1",1019
"423","UKF1","UKH2",2195
"424","UKF1","UKH3",1356
"425","UKF1","UKI1",10157
"426","UKF1","UKI2",2570
"427","UKF1","UKJ1",9168
"428","UKF1","UKJ2",1566
"429","UKF1","UKJ3",1386
"430","UKF1","UKJ4",1566
"431","UKF1","UKK1",25100
"432","UKF1","UKK2",175
"433","UKF1","UKK3",3673
"434","UKF1","UKK4",598
"435","UKF1","UKL1",460
"436","UKF1","UKL2",169
"437","UKF1","UKM2",4858
"438","UKF1","UKM3",1049
"439","UKF1","UKM5",96
"440","UKF1","UKM6",95
"441","UKF1","UKN0",222
"442","UKF2","UKC1",469
"443","UKF2","UKC2",381
