"","origin","destination","weight"
"1","UKC1","UKC1",943
"2","UKC1","UKC2",105
"3","UKC1","UKD1",1
"4","UKC1","UKD4",5
"5","UKC1","UKD6",4
"6","UKC1","UKE2",8
"7","UKC1","UKE3",6
"8","UKC1","UKE4",43
"9","UKC1","UKF2",3
"10","UKC1","UKG1",14
"11","UKC1","UKG3",41
"12","UKC1","UKH1",6
"13","UKC1","UKH2",7
"14","UKC1","UKH3",38
"15","UKC1","UKI1",1057
"16","UKC1","UKI2",21
"17","UKC1","UKJ1",53
"18","UKC1","UKJ2",24
"19","UKC1","UKJ3",10
"20","UKC1","UKJ4",2
"21","UKC1","UKK1",120
"22","UKC1","UKK2",7
"23","UKC1","UKK3",4
"24","UKC1","UKK4",7
"25","UKC1","UKM2",54
"26","UKC1","UKM3",22
"27","UKC1","UKM5",62
"28","UKC1","UKM6",1
"29","UKC2","UKC1",351
"30","UKC2","UKC2",313011
"31","UKC2","UKD1",3153
"32","UKC2","UKD3",477
"33","UKC2","UKD4",660
"34","UKC2","UKD6",136
"35","UKC2","UKD7",91
"36","UKC2","UKE1",1205
"37","UKC2","UKE2",1773
"38","UKC2","UKE3",651
"39","UKC2","UKE4",7283
"40","UKC2","UKF1",1311
"41","UKC2","UKF2",1047
"42","UKC2","UKF3",206
"43","UKC2","UKG1",872
"44","UKC2","UKG2",268
"45","UKC2","UKG3",2949
"46","UKC2","UKH1",1398
"47","UKC2","UKH2",1776
"48","UKC2","UKH3",2277
"49","UKC2","UKI1",23999
"50","UKC2","UKI2",6376
"51","UKC2","UKJ1",4425
"52","UKC2","UKJ2",4216
"53","UKC2","UKJ3",1267
"54","UKC2","UKJ4",546
"55","UKC2","UKK1",5312
"56","UKC2","UKK2",1994
"57","UKC2","UKK3",1529
"58","UKC2","UKK4",1166
"59","UKC2","UKL1",159
"60","UKC2","UKL2",516
"61","UKC2","UKM2",1476
"62","UKC2","UKM3",9854
"63","UKC2","UKM5",6767
"64","UKC2","UKM6",1130
"65","UKC2","UKN0",139
"66","UKD1","UKC1",12
"67","UKD1","UKC2",1567
"68","UKD1","UKD1",1532
"69","UKD1","UKD3",51
"70","UKD1","UKD4",3
"71","UKD1","UKD6",74
"72","UKD1","UKE1",4
"73","UKD1","UKE2",1
"74","UKD1","UKE3",124
"75","UKD1","UKE4",5
"76","UKD1","UKF1",274
"77","UKD1","UKG1",20
"78","UKD1","UKG2",2
"79","UKD1","UKG3",4
"80","UKD1","UKH1",79
"81","UKD1","UKH2",5
"82","UKD1","UKH3",78
"83","UKD1","UKI1",151
"84","UKD1","UKI2",6291
"85","UKD1","UKJ1",16
"86","UKD1","UKJ2",1829
"87","UKD1","UKJ3",4
"88","UKD1","UKJ4",500
"89","UKD1","UKK1",365
"90","UKD1","UKK2",15
"91","UKD1","UKK3",2
"92","UKD1","UKK4",4
"93","UKD1","UKL1",4
"94","UKD1","UKL2",1302
"95","UKD1","UKM2",806
"96","UKD1","UKM3",103
"97","UKD1","UKM5",384
"98","UKD1","UKM6",197
"99","UKD1","UKN0",2
"100","UKD3","UKC2",194
"101","UKD3","UKD1",69
"102","UKD3","UKD3",1064
"103","UKD3","UKD4",5
"104","UKD3","UKE1",25
"105","UKD3","UKE2",951
"106","UKD3","UKE3",1
"107","UKD3","UKE4",21
"108","UKD3","UKF1",30
"109","UKD3","UKF2",8
"110","UKD3","UKG1",10
"111","UKD3","UKG2",5
"112","UKD3","UKG3",40
"113","UKD3","UKH1",23
"114","UKD3","UKH2",1
"115","UKD3","UKH3",34
"116","UKD3","UKI1",289
"117","UKD3","UKI2",117
"118","UKD3","UKJ1",67
"119","UKD3","UKJ2",20
"120","UKD3","UKJ3",12
"121","UKD3","UKJ4",1
"122","UKD3","UKK1",44
"123","UKD3","UKK2",75
"124","UKD3","UKK4",3
"125","UKD3","UKM2",39
"126","UKD3","UKM3",51
"127","UKD3","UKM5",174
"128","UKD3","UKM6",7
"129","UKD3","UKN0",2
"130","UKD4","UKC2",2739
"131","UKD4","UKD1",32
"132","UKD4","UKD3",10
"133","UKD4","UKD4",17359
"134","UKD4","UKD6",2
"135","UKD4","UKD7",63
"136","UKD4","UKE1",1642
"137","UKD4","UKE2",15
"138","UKD4","UKE3",25
"139","UKD4","UKE4",159
"140","UKD4","UKF1",292
"141","UKD4","UKF2",38
"142","UKD4","UKF3",2
"143","UKD4","UKG1",19
"144","UKD4","UKG3",172
"145","UKD4","UKH1",38
"146","UKD4","UKH2",13
"147","UKD4","UKH3",15
"148","UKD4","UKI1",2309
"149","UKD4","UKI2",373
"150","UKD4","UKJ1",94
"151","UKD4","UKJ2",241
"152","UKD4","UKJ3",7
"153","UKD4","UKJ4",19
"154","UKD4","UKK1",724
"155","UKD4","UKK2",695
"156","UKD4","UKK3",8
"157","UKD4","UKK4",1387
"158","UKD4","UKL1",20
"159","UKD4","UKL2",4
"160","UKD4","UKM2",79
"161","UKD4","UKM3",83
"162","UKD4","UKM5",203
"163","UKD4","UKM6",2
"164","UKD4","UKN0",7
"165","UKD6","UKC1",3
"166","UKD6","UKC2",72
"167","UKD6","UKD1",3
"168","UKD6","UKD3",21
"169","UKD6","UKD4",6
"170","UKD6","UKD6",826
"171","UKD6","UKE3",12
"172","UKD6","UKE4",7
"173","UKD6","UKF1",18
"174","UKD6","UKF2",17
"175","UKD6","UKF3",2
"176","UKD6","UKG1",28
"177","UKD6","UKG3",14
"178","UKD6","UKH1",1
"179","UKD6","UKH2",54
"180","UKD6","UKH3",4
