,Nodes,Name
1,UKC1,Tees Valley and Durham
2,UKC2,Northumberland and Tyne and Wear
3,UKD1,Cumbria
4,UKD3,Greater Manchester
5,UKD4,Lancashire
6,UKD6,Cheshire
7,UKD7,Merseyside
8,UKE1,East Yorkshire and Northern Lincolnshire
9,UKE2,North Yorkshire
10,UKE3,South Yorkshire
11,UKE4,West Yorkshire
12,UKF1,Derbyshire and Nottinghamshire
13,UKF2,"Leicestershire, Rutland and Northamptonshire"
14,UKF3,Lincolnshire
15,UKG1,"Herefordshire, Worcestershire and Warwickshire"
16,UKG2,Shropshire and Staffordshire
17,UKG3,West Midlands
18,UKH1,East Anglia
19,UKH2,Bedfordshire and Hertfordshire
20,UKH3,Essex
21,UKI1,Inner London
22,UKI2,Outer London
23,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire"
24,UKJ2,"Surrey, East and West Sussex"
25,UKJ3,Hampshire and Isle of Wight
26,UKJ4,Kent
27,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area"
28,UKK2,Dorset and Somerset
29,UKK3,Cornwall and Isles of Scilly
30,UKK4,Devon
31,UKL1,West Wales and The Valleys
32,UKL2,East Wales
33,UKM2,Eastern Scotland
34,UKM3,South Western Scotland
35,UKM5,North Eastern Scotland
36,UKM6,Highlands and Islands
37,UKN0,Northern Ireland
