"","origin","destination","weight"
"1","UKC1","UKC1",54239
"2","UKC1","UKC2",661
"3","UKC1","UKD1",7
"4","UKC1","UKD3",93
"5","UKC1","UKD4",138
"6","UKC1","UKD6",13
"7","UKC1","UKD7",5
"8","UKC1","UKE1",7
"9","UKC1","UKE2",1452
"10","UKC1","UKE3",10
"11","UKC1","UKE4",5
"12","UKC1","UKF1",1803
"13","UKC1","UKF2",241
"14","UKC1","UKG1",5
"15","UKC1","UKG2",22
"16","UKC1","UKG3",13
"17","UKC1","UKH1",36
"18","UKC1","UKH2",29
"19","UKC1","UKH3",27
"20","UKC1","UKI1",592
"21","UKC1","UKI2",65
"22","UKC1","UKJ1",242
"23","UKC1","UKJ2",382
"24","UKC1","UKJ3",28
"25","UKC1","UKJ4",8
"26","UKC1","UKK1",28
"27","UKC1","UKK2",3
"28","UKC1","UKK3",13
"29","UKC1","UKK4",94
"30","UKC1","UKL1",6
"31","UKC1","UKL2",24
"32","UKC1","UKM2",89
"33","UKC1","UKM3",36
"34","UKC1","UKM5",1
"35","UKC1","UKM6",3
"36","UKC1","UKN0",3
"37","UKC2","UKC1",751
"38","UKC2","UKC2",40620
"39","UKC2","UKD1",31
"40","UKC2","UKD3",250
"41","UKC2","UKD4",127
"42","UKC2","UKD6",12
"43","UKC2","UKE1",4
"44","UKC2","UKE2",55
"45","UKC2","UKE3",15
"46","UKC2","UKE4",26
"47","UKC2","UKF1",39
"48","UKC2","UKF2",38
"49","UKC2","UKF3",12
"50","UKC2","UKG1",30
"51","UKC2","UKG2",8
"52","UKC2","UKG3",5
"53","UKC2","UKH1",18
"54","UKC2","UKH2",56
"55","UKC2","UKH3",2
"56","UKC2","UKI1",4479
"57","UKC2","UKI2",182
"58","UKC2","UKJ1",474
"59","UKC2","UKJ2",134
"60","UKC2","UKJ3",34
"61","UKC2","UKJ4",8
"62","UKC2","UKK1",44
"63","UKC2","UKK2",3
"64","UKC2","UKK3",47
"65","UKC2","UKK4",76
"66","UKC2","UKL1",4
"67","UKC2","UKL2",28
"68","UKC2","UKM2",151
"69","UKC2","UKM3",34
"70","UKC2","UKM6",6
"71","UKC2","UKN0",13
"72","UKD1","UKC1",16
"73","UKD1","UKC2",15
"74","UKD1","UKD1",46807
"75","UKD1","UKD3",100
"76","UKD1","UKD4",355
"77","UKD1","UKD6",5
"78","UKD1","UKD7",2
"79","UKD1","UKE1",35
"80","UKD1","UKE2",28
"81","UKD1","UKF1",34
"82","UKD1","UKF2",48
"83","UKD1","UKF3",14
"84","UKD1","UKG1",37
"85","UKD1","UKG2",38
"86","UKD1","UKH1",178
"87","UKD1","UKH2",31
"88","UKD1","UKH3",16
"89","UKD1","UKI1",285
"90","UKD1","UKI2",35
"91","UKD1","UKJ1",278
"92","UKD1","UKJ2",75
"93","UKD1","UKJ3",31
"94","UKD1","UKJ4",31
"95","UKD1","UKK1",40
"96","UKD1","UKK2",11
"97","UKD1","UKK3",20
"98","UKD1","UKK4",51
"99","UKD1","UKL1",4
"100","UKD1","UKL2",2
"101","UKD1","UKM2",69
"102","UKD1","UKM3",2
"103","UKD1","UKM6",12
"104","UKD1","UKN0",15
"105","UKD3","UKC1",857
"106","UKD3","UKC2",25
"107","UKD3","UKD1",383
"108","UKD3","UKD3",240489
"109","UKD3","UKD4",565
"110","UKD3","UKD6",149
"111","UKD3","UKD7",89
"112","UKD3","UKE1",68
"113","UKD3","UKE2",12
"114","UKD3","UKE3",856
"115","UKD3","UKE4",63
"116","UKD3","UKF1",207
"117","UKD3","UKF2",47
"118","UKD3","UKF3",23
"119","UKD3","UKG1",58
"120","UKD3","UKG2",481
"121","UKD3","UKG3",81
"122","UKD3","UKH1",67
"123","UKD3","UKH2",466
