"","origin","destination","weight"
"1","UKC1","UKC1",438
"2","UKC1","UKC2",32
"3","UKC1","UKD1",3
"4","UKC1","UKD3",1
"5","UKC1","UKD4",6
"6","UKC1","UKD6",9
"7","UKC1","UKE2",4
"8","UKC1","UKE4",3
"9","UKC1","UKF1",6
"10","UKC1","UKF2",3
"11","UKC1","UKF3",2
"12","UKC1","UKG1",12
"13","UKC1","UKG2",6
"14","UKC1","UKG3",24
"15","UKC1","UKH1",71
"16","UKC1","UKH2",4
"17","UKC1","UKI1",34
"18","UKC1","UKI2",1
"19","UKC1","UKJ1",1
"20","UKC1","UKJ2",3
"21","UKC1","UKJ3",7
"22","UKC1","UKJ4",1
"23","UKC1","UKK1",4
"24","UKC1","UKK3",7
"25","UKC1","UKK4",3
"26","UKC1","UKL1",10
"27","UKC1","UKM2",1
"28","UKC1","UKM5",3
"29","UKC2","UKC1",22
"30","UKC2","UKC2",159
"31","UKC2","UKD1",4
"32","UKC2","UKD3",5
"33","UKC2","UKE2",5
"34","UKC2","UKE3",2
"35","UKC2","UKE4",30
"36","UKC2","UKF1",20
"37","UKC2","UKF2",2
"38","UKC2","UKH1",7
"39","UKC2","UKH2",3
"40","UKC2","UKH3",3
"41","UKC2","UKI1",6
"42","UKC2","UKI2",4
"43","UKC2","UKJ1",450
"44","UKC2","UKJ2",1
"45","UKC2","UKJ4",3
"46","UKC2","UKK1",1
"47","UKC2","UKK2",1
"48","UKC2","UKK3",1
"49","UKC2","UKM2",7
"50","UKC2","UKM3",3
"51","UKC2","UKM5",1
"52","UKD1","UKC2",3
"53","UKD1","UKD1",141
"54","UKD1","UKD3",416
"55","UKD1","UKD4",9
"56","UKD1","UKE2",1
"57","UKD1","UKF1",4
"58","UKD1","UKF2",13
"59","UKD1","UKF3",2
"60","UKD1","UKG2",8
"61","UKD1","UKG3",1
"62","UKD1","UKH1",1
"63","UKD1","UKH2",1
"64","UKD1","UKI1",3
"65","UKD1","UKI2",2
"66","UKD1","UKJ2",5
"67","UKD1","UKJ3",1
"68","UKD1","UKK1",3
"69","UKD1","UKK2",1
"70","UKD1","UKK3",1
"71","UKD1","UKK4",1
"72","UKD1","UKL1",2
"73","UKD1","UKL2",2
"74","UKD1","UKM2",2
"75","UKD1","UKM3",1
"76","UKD1","UKM6",3
"77","UKD3","UKC2",3
"78","UKD3","UKD1",58
"79","UKD3","UKD3",13570
"80","UKD3","UKD4",38
"81","UKD3","UKD6",14
"82","UKD3","UKD7",7
"83","UKD3","UKE1",4
"84","UKD3","UKE2",1
"85","UKD3","UKE3",1
"86","UKD3","UKE4",8
"87","UKD3","UKF1",32
"88","UKD3","UKF2",56
"89","UKD3","UKF3",19
"90","UKD3","UKG1",47
"91","UKD3","UKG2",1
"92","UKD3","UKG3",10
"93","UKD3","UKH1",5
"94","UKD3","UKH2",3
"95","UKD3","UKI1",668
"96","UKD3","UKI2",14
"97","UKD3","UKJ1",30
"98","UKD3","UKJ2",32
"99","UKD3","UKJ3",79
"100","UKD3","UKJ4",3
"101","UKD3","UKK1",6
"102","UKD3","UKK2",8
"103","UKD3","UKK4",3
"104","UKD3","UKL1",5
"105","UKD3","UKL2",2
"106","UKD3","UKM2",1
"107","UKD3","UKM3",56
"108","UKD3","UKN0",9
"109","UKD4","UKC1",1
"110","UKD4","UKD1",20
"111","UKD4","UKD3",377
"112","UKD4","UKD4",630
"113","UKD4","UKD6",4
"114","UKD4","UKD7",1
"115","UKD4","UKE2",4
"116","UKD4","UKE3",1
"117","UKD4","UKF1",26
"118","UKD4","UKF2",15
"119","UKD4","UKF3",1
"120","UKD4","UKG1",8
"121","UKD4","UKG2",3
"122","UKD4","UKG3",2
"123","UKD4","UKH1",1
"124","UKD4","UKH3",1
"125","UKD4","UKI1",15
"126","UKD4","UKI2",15
"127","UKD4","UKJ1",4
"128","UKD4","UKJ2",2
"129","UKD4","UKJ3",9
"130","UKD4","UKJ4",5
"131","UKD4","UKK1",32
"132","UKD4","UKK2",2
"133","UKD4","UKK3",1
"134","UKD4","UKK4",3
"135","UKD4","UKL1",3
"136","UKD4","UKM3",1
"137","UKD4","UKM6",1
"138","UKD4","UKN0",15
"139","UKD6","UKC2",1
"140","UKD6","UKD1",8
"141","UKD6","UKD3",77
"142","UKD6","UKD4",1
"143","UKD6","UKD6",551
"144","UKD6","UKD7",1
"145","UKD6","UKE2",19
"146","UKD6","UKF1",16
"147","UKD6","UKF2",4
"148","UKD6","UKG1",1
"149","UKD6","UKG2",226
"150","UKD6","UKH1",1
"151","UKD6","UKH2",7
"152","UKD6","UKI1",2
"153","UKD6","UKI2",1
"154","UKD6","UKJ1",1
"155","UKD6","UKJ2",6
"156","UKD6","UKJ3",9
"157","UKD6","UKK1",2
"158","UKD6","UKK2",2
"159","UKD6","UKK4",4
"160","UKD6","UKL1",4
"161","UKD6","UKM6",2
"162","UKD6","UKN0",2
"163","UKD7","UKD3",9
"164","UKD7","UKD7",368
"165","UKD7","UKE1",3
"166","UKD7","UKF1",6
"167","UKD7","UKG2",2
"168","UKD7","UKG3",6
"169","UKD7","UKI1",5
"170","UKD7","UKI2",1
"171","UKD7","UKK1",4
"172","UKD7","UKM2",1
"173","UKD7","UKN0",2
"174","UKE1","UKD1",1
"175","UKE1","UKD3",1
"176","UKE1","UKD4",16
"177","UKE1","UKD7",2
"178","UKE1","UKE1",148
"179","UKE1","UKE3",36
"180","UKE1","UKF3",8
"181","UKE1","UKH1",4
"182","UKE1","UKH2",5
"183","UKE1","UKI1",16
"184","UKE1","UKJ2",10
"185","UKE1","UKJ3",1
"186","UKE1","UKK1",7
"187","UKE1","UKM2",4
"188","UKE1","UKM3",2
"189","UKE2","UKD1",3
"190","UKE2","UKD3",3
"191","UKE2","UKE1",1
"192","UKE2","UKE2",30
"193","UKE2","UKE4",3
"194","UKE2","UKF1",26
"195","UKE2","UKF2",5
"196","UKE2","UKG1",2
"197","UKE2","UKG2",2
"198","UKE2","UKH1",10
"199","UKE2","UKI1",8
"200","UKE2","UKI2",2
"201","UKE2","UKJ1",5
"202","UKE2","UKJ2",1
"203","UKE2","UKK1",2
"204","UKE2","UKL1",1
"205","UKE3","UKD1",2
"206","UKE3","UKD3",2
"207","UKE3","UKD6",1
"208","UKE3","UKE3",474
"209","UKE3","UKE4",2
"210","UKE3","UKF1",35
"211","UKE3","UKF2",43
"212","UKE3","UKG2",1
"213","UKE3","UKH1",4
"214","UKE3","UKH2",2
"215","UKE3","UKH3",2
"216","UKE3","UKI1",8
"217","UKE3","UKJ1",4
"218","UKE3","UKJ2",1
"219","UKE3","UKK2",1
"220","UKE3","UKL1",1
"221","UKE3","UKL2",3
"222","UKE3","UKM3",1
"223","UKE4","UKD1",57
"224","UKE4","UKD3",10
"225","UKE4","UKE1",7
"226","UKE4","UKE2",2
"227","UKE4","UKE3",1
"228","UKE4","UKE4",1512
"229","UKE4","UKF1",2
"230","UKE4","UKF2",3
"231","UKE4","UKG1",11
"232","UKE4","UKG2",2
